epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.8285,0.71413,2.7747,1.04256,0.00386,0.91667,0.42979,0.37714,0.56232,3.08953,0.84784,0.00018,0.00018,0.00018
2,134.23,0.58477,1.46684,0.91269,0.747,0.66667,0.73933,0.62284,0.54752,2.85728,0.80419,0.000372476,0.000372476,0.000372476
3,202.731,0.58066,1.2071,0.9323,1,0.24408,0.6912,0.58064,0.60569,2.78787,0.83762,0.000557032,0.000557032,0.000557032
4,263.595,0.56314,1.12321,0.91383,0.76211,0.5,0.55097,0.4618,0.62272,2.55116,0.85087,0.000733668,0.000733668,0.000733668
5,322.845,0.59558,1.09534,0.928,0.81636,0.18711,0.4784,0.35028,0.80055,3.04699,1.02665,0.000902384,0.000902384,0.000902384
6,385.234,0.56555,1.13729,0.92722,1,0.53636,0.67218,0.56693,0.70934,2.5806,0.90424,0.00106318,0.00106318,0.00106318
7,444.726,0.59939,1.06043,0.92953,0.71285,0.62081,0.71021,0.56558,0.79524,2.37123,1.01614,0.00121606,0.00121606,0.00121606
8,514.487,0.63347,1.15796,0.96539,0.64589,0.41667,0.48981,0.25559,1.08978,2.54254,1.43148,0.00136101,0.00136101,0.00136101
9,594.849,0.57435,1.00653,0.92759,0.85326,0.72733,0.78103,0.5467,0.80458,1.68884,1.01034,0.00149805,0.00149805,0.00149805
10,664.13,0.61068,0.98798,0.93618,0.97046,0.54167,0.67003,0.54898,0.81103,1.83069,1.03577,0.00162716,0.00162716,0.00162716
11,728.24,0.58582,0.94363,0.94943,0.84963,0.625,0.78693,0.61524,0.81352,1.52887,1.00362,0.001604,0.001604,0.001604
12,794.1,0.6157,0.90251,0.93519,0.53192,0.625,0.49705,0.33674,0.86917,2.44387,1.20624,0.0015644,0.0015644,0.0015644
13,859.663,0.52559,0.82772,0.9123,0.69335,0.66667,0.70414,0.58034,0.66921,1.36109,0.90818,0.0015248,0.0015248,0.0015248
14,923.835,0.64186,0.9134,0.96999,0.69277,0.7517,0.75108,0.56751,0.72871,1.62539,0.92506,0.0014852,0.0014852,0.0014852
15,989.759,0.60155,0.86085,0.9569,0.85227,0.70833,0.79909,0.65475,0.67112,1.41543,0.91054,0.0014456,0.0014456,0.0014456
16,1065.97,0.53003,0.80183,0.91472,0.93282,0.5788,0.75472,0.60978,0.72253,1.56037,0.89743,0.001406,0.001406,0.001406
17,1135.59,0.55326,0.78728,0.92475,0.74137,0.70833,0.74146,0.57992,0.73867,1.43899,0.91635,0.0013664,0.0013664,0.0013664
18,1199.95,0.55634,0.77497,0.93662,1,0.70573,0.90769,0.75299,0.58876,0.94875,0.81744,0.0013268,0.0013268,0.0013268
19,1264.75,0.55382,0.76322,0.9276,0.95591,0.90382,0.94748,0.81469,0.54935,0.83038,0.82504,0.0012872,0.0012872,0.0012872
20,1329.28,0.5643,0.76154,0.91586,0.95183,0.95833,0.9722,0.7676,0.66338,0.90333,0.89446,0.0012476,0.0012476,0.0012476
21,1394.77,0.54368,0.72932,0.91567,0.95617,0.9092,0.97514,0.78742,0.65191,0.86702,0.8961,0.001208,0.001208,0.001208
22,1459.99,0.4891,0.66427,0.89303,0.87266,0.85707,0.9571,0.82555,0.56807,0.7893,0.86013,0.0011684,0.0011684,0.0011684
23,1527.38,0.49232,0.67971,0.91283,0.85528,1,0.95695,0.8667,0.48327,0.76558,0.81355,0.0011288,0.0011288,0.0011288
24,1593.47,0.48207,0.62105,0.89677,0.8538,0.91667,0.9528,0.84957,0.45733,0.79898,0.7796,0.0010892,0.0010892,0.0010892
25,1658.86,0.47375,0.65156,0.90953,0.91258,0.87006,0.95832,0.87213,0.46804,0.73057,0.77642,0.0010496,0.0010496,0.0010496
26,1724.74,0.4361,0.5982,0.86682,0.87718,0.95833,0.93338,0.81496,0.44708,0.71884,0.78477,0.00101,0.00101,0.00101
27,1790.65,0.45335,0.60426,0.88427,0.88881,0.99922,0.97096,0.83956,0.45407,0.64233,0.79304,0.0009704,0.0009704,0.0009704
28,1856.28,0.43761,0.57707,0.89332,0.88884,0.99951,0.98214,0.88517,0.45082,0.616,0.77312,0.0009308,0.0009308,0.0009308
29,1921.26,0.40702,0.53636,0.87006,0.88833,0.99454,0.98263,0.88842,0.436,0.56469,0.77644,0.0008912,0.0008912,0.0008912
30,1985.19,0.46783,0.57606,0.89269,0.91583,0.90707,0.9741,0.88033,0.44362,0.60104,0.79272,0.0008516,0.0008516,0.0008516
31,2049.35,0.45391,0.53833,0.87064,0.88343,0.95833,0.97381,0.85542,0.45394,0.61479,0.79173,0.000812,0.000812,0.000812
32,2111.58,0.45051,0.5406,0.87862,0.76601,0.95833,0.92147,0.80851,0.45607,0.75536,0.772,0.0007724,0.0007724,0.0007724
33,2173.29,0.39479,0.49545,0.85146,0.84423,0.95833,0.94182,0.84937,0.42823,0.6522,0.76271,0.0007328,0.0007328,0.0007328
34,2235.36,0.41425,0.52079,0.88522,0.88608,1,0.95676,0.84771,0.41733,0.55717,0.7604,0.0006932,0.0006932,0.0006932
35,2314.72,0.37445,0.46687,0.88033,0.8864,1,0.95026,0.851,0.41023,0.54279,0.77005,0.0006536,0.0006536,0.0006536
36,2392.03,0.37189,0.52156,0.85428,0.92024,1,0.97484,0.88383,0.38026,0.51369,0.74743,0.000614,0.000614,0.000614
37,2463.16,0.39844,0.53352,0.86666,0.92139,1,0.97622,0.89969,0.37219,0.50432,0.75009,0.0005744,0.0005744,0.0005744
38,2528.1,0.38497,0.49962,0.8646,0.88509,1,0.92359,0.83656,0.38483,0.58821,0.77212,0.0005348,0.0005348,0.0005348
39,2591.89,0.32773,0.44099,0.84709,0.88602,1,0.93773,0.83208,0.40955,0.57383,0.78447,0.0004952,0.0004952,0.0004952
40,2656.74,0.3527,0.52473,0.88001,0.88632,1,0.94829,0.85658,0.38367,0.5631,0.77328,0.0004556,0.0004556,0.0004556
41,2716.61,0.33485,0.52964,0.85499,0.88613,1,0.95188,0.87846,0.36561,0.53555,0.76438,0.000416,0.000416,0.000416
42,2775.91,0.30568,0.46433,0.82199,0.91893,1,0.98151,0.90214,0.37755,0.55458,0.76775,0.0003764,0.0003764,0.0003764
43,2836.27,0.30075,0.47426,0.82931,0.92178,1,0.97484,0.88239,0.37171,0.5463,0.7618,0.0003368,0.0003368,0.0003368
44,2898.07,0.35342,0.4731,0.82569,0.92284,0.9968,0.96885,0.88594,0.34865,0.52591,0.75362,0.0002972,0.0002972,0.0002972
45,2968.2,0.30706,0.43064,0.8225,0.8856,1,0.96639,0.88435,0.35746,0.50957,0.75294,0.0002576,0.0002576,0.0002576
46,3036.61,0.27396,0.40077,0.79761,0.88757,1,0.98181,0.89883,0.35147,0.492,0.75394,0.000218,0.000218,0.000218
47,3099.22,0.28079,0.40784,0.79866,0.88753,1,0.97872,0.90005,0.35413,0.49651,0.75298,0.0001784,0.0001784,0.0001784
48,3164.11,0.26595,0.40693,0.84316,0.88755,1,0.97698,0.90649,0.34275,0.49297,0.74861,0.0001388,0.0001388,0.0001388
49,3225.81,0.2667,0.39671,0.82214,0.88724,1,0.9735,0.90197,0.3364,0.49945,0.74745,9.92e-05,9.92e-05,9.92e-05
50,3291.47,0.25846,0.39351,0.82852,0.88695,1,0.9735,0.90221,0.33236,0.50044,0.74733,5.96e-05,5.96e-05,5.96e-05
