epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.371,0.73474,2.76168,1.14285,0.65927,0.53371,0.60145,0.49751,0.51759,3.39057,0.84479,0.00026672,0.00026672,0.00026672
2,213.643,0.64673,1.60127,1.05253,1,0.21786,0.70666,0.62596,0.42169,3.23447,0.84361,0.00053455,0.00053455,0.00053455
3,317.854,0.71931,1.45035,1.06141,0.6788,0.51767,0.58254,0.45318,0.60571,3.379,0.89399,0.000786348,0.000786348,0.000786348
4,417.787,0.78196,1.45929,1.13634,0.769,0.525,0.65359,0.54506,0.67724,2.54481,0.8959,0.00102211,0.00102211,0.00102211
5,518.609,0.78515,1.42275,1.09301,0.44004,0.6625,0.61222,0.46587,0.68823,2.07521,0.9447,0.00124185,0.00124185,0.00124185
6,620.019,0.80187,1.33837,1.11946,0.8578,0.75404,0.79336,0.61709,0.60924,1.66931,0.88831,0.00143124,0.00143124,0.00143124
7,719.01,0.83417,1.34819,1.1473,0.80505,0.61667,0.63822,0.50632,0.5996,1.60667,0.88305,0.00138409,0.00138409,0.00138409
8,818.257,0.76329,1.36917,1.12828,0.71554,0.63155,0.72489,0.60593,0.69206,3.37673,0.91153,0.00133693,0.00133693,0.00133693
9,917.973,0.76271,1.21013,1.08602,0.70344,0.60282,0.73609,0.62726,0.50392,3.61493,0.86405,0.00128978,0.00128978,0.00128978
10,1016.82,0.73538,1.14094,1.07321,0.73026,0.56164,0.65296,0.55374,0.5297,2.32422,0.9041,0.00124263,0.00124263,0.00124263
11,1117.43,0.7473,1.08786,1.0896,0.93169,0.88714,0.87904,0.77777,0.45516,1.41685,0.80861,0.00119548,0.00119548,0.00119548
12,1216.33,0.70457,1.05757,1.0677,0.88209,0.9416,0.96495,0.8551,0.44951,1.0097,0.80136,0.00114832,0.00114832,0.00114832
13,1316.91,0.64135,0.95011,1.00795,0.97998,0.87387,0.96451,0.834,0.47085,0.85255,0.82438,0.00110117,0.00110117,0.00110117
14,1415.71,0.63416,0.91384,1.00109,0.91837,0.85246,0.94437,0.80775,0.45817,0.83612,0.82014,0.00105402,0.00105402,0.00105402
15,1515.69,0.6599,0.89383,1.03281,0.87239,0.85145,0.8987,0.76056,0.48232,0.89682,0.82202,0.00100687,0.00100687,0.00100687
16,1614.17,0.66072,0.88656,1.02863,0.90854,0.95704,0.95949,0.79479,0.44846,0.91125,0.81252,0.000959716,0.000959716,0.000959716
17,1714.76,0.64514,0.84013,1.01818,0.95027,0.90945,0.96057,0.83303,0.38398,0.73944,0.81099,0.000912563,0.000912563,0.000912563
18,1815.46,0.67661,0.84728,1.05464,0.87239,0.92097,0.94776,0.83631,0.45252,0.894,0.81872,0.000865411,0.000865411,0.000865411
19,1914.74,0.60743,0.77782,1.00822,0.86924,0.94583,0.93684,0.84364,0.38578,0.70737,0.79492,0.000818259,0.000818259,0.000818259
20,2014.88,0.60062,0.75965,0.98451,0.94426,0.96194,0.94962,0.84251,0.37813,0.65836,0.78717,0.000771107,0.000771107,0.000771107
21,2114.72,0.5858,0.71537,1.01053,0.95275,0.925,0.97045,0.84905,0.42219,0.61284,0.7843,0.000723954,0.000723954,0.000723954
22,2213.96,0.56724,0.69668,0.98376,0.93493,0.92186,0.96981,0.83511,0.37341,0.55698,0.79258,0.000676802,0.000676802,0.000676802
23,2314.77,0.54962,0.67551,0.98695,0.89222,0.93361,0.95662,0.82464,0.42195,0.56727,0.7982,0.00062965,0.00062965,0.00062965
24,2415.36,0.53876,0.68081,0.98025,0.92287,0.97582,0.96442,0.86713,0.38756,0.54402,0.78195,0.000582497,0.000582497,0.000582497
25,2514.6,0.5659,0.69599,0.9978,0.8863,0.99451,0.96683,0.88358,0.33828,0.54075,0.75891,0.000535345,0.000535345,0.000535345
26,2612.71,0.44019,0.69129,0.93385,0.88766,0.93333,0.95818,0.86363,0.28899,0.6507,0.76007,0.000488193,0.000488193,0.000488193
27,2711.1,0.38063,0.63001,0.87267,0.94901,0.94085,0.98411,0.90234,0.30289,0.49827,0.75563,0.000441041,0.000441041,0.000441041
28,9238.54,0.36537,0.56973,0.87077,0.92015,1,0.98167,0.91915,0.32489,0.487,0.75562,0.000393888,0.000393888,0.000393888
29,9340.99,0.36578,0.57258,0.86257,0.95672,0.95341,0.9794,0.91052,0.30168,0.51572,0.75349,0.000346736,0.000346736,0.000346736
30,9442.66,0.33549,0.53579,0.86271,0.94645,0.97555,0.9746,0.90902,0.28979,0.48648,0.74876,0.000299584,0.000299584,0.000299584
31,9548.18,0.31931,0.515,0.84862,0.94712,0.97832,0.98162,0.90247,0.27089,0.44731,0.74849,0.000252431,0.000252431,0.000252431
32,9648.8,0.33125,0.50614,0.85373,0.94437,0.99845,0.98385,0.90662,0.25666,0.4344,0.7507,0.000205279,0.000205279,0.000205279
33,9749.33,0.31198,0.49692,0.83043,0.93777,1,0.98385,0.91079,0.26795,0.42944,0.75445,0.000158127,0.000158127,0.000158127
34,9852.46,0.29978,0.47018,0.8285,0.93354,1,0.98385,0.91786,0.29227,0.44178,0.75529,0.000110975,0.000110975,0.000110975
35,9952.13,0.28847,0.46792,0.84913,0.93569,1,0.98385,0.91918,0.28882,0.42936,0.75175,6.38223e-05,6.38223e-05,6.38223e-05
